,id,sentenceId2,x,y
0,014,03,0,6
1,014,03,4,2
2,014,03,9,0
3,014,03,12,1
4,014,03,15,0
5,014,03,20,2
6,014,03,24,7
7,014,03,20,12
8,014,03,15,14
9,014,03,12,14
10,014,03,8,14
11,014,03,3,11
12,014,03,2,6
13,014,03,8,5
14,014,03,12,5
15,014,03,15,5
16,014,03,22,7
17,014,03,15,7
18,014,03,12,8
19,014,03,8,7
20,015,03,0,5
21,015,03,5,2
22,015,03,9,0
23,015,03,12,2
24,015,03,16,1
25,015,03,21,3
26,015,03,26,6
27,015,03,20,9
28,015,03,16,11
29,015,03,12,11
30,015,03,9,10
31,015,03,4,9
32,015,03,2,5
33,015,03,9,4
34,015,03,12,5
35,015,03,16,5
36,015,03,23,6
37,015,03,16,5
38,015,03,12,5
39,015,03,9,5
40,001,03,0,4
41,001,03,6,1
42,001,03,10,0
43,001,03,13,1
44,001,03,17,0
45,001,03,21,2
46,001,03,26,5
47,001,03,21,8
48,001,03,16,9
49,001,03,13,9
50,001,03,9,9
51,001,03,5,7
52,001,03,2,4
53,001,03,10,4
54,001,03,13,4
55,001,03,17,4
56,001,03,24,5
57,001,03,16,4
58,001,03,13,4
59,001,03,10,4
60,003,03,0,7
61,003,03,3,2
62,003,03,8,0
63,003,03,11,1
64,003,03,15,0
65,003,03,19,3
66,003,03,23,8
67,003,03,20,14
68,003,03,15,17
69,003,03,11,17
70,003,03,7,16
71,003,03,3,14
72,003,03,2,7
73,003,03,8,5
74,003,03,11,5
75,003,03,15,5
76,003,03,21,8
77,003,03,15,9
78,003,03,11,10
79,003,03,8,9
80,002,03,0,6
81,002,03,3,2
82,002,03,8,0
83,002,03,11,1
84,002,03,15,0
85,002,03,19,3
86,002,03,23,7
87,002,03,19,13
88,002,03,14,15
89,002,03,11,16
90,002,03,7,15
91,002,03,3,13
92,002,03,2,6
93,002,03,8,5
94,002,03,11,5
95,002,03,14,5
96,002,03,21,7
97,002,03,14,8
98,002,03,11,9
99,002,03,8,8
100,012,03,0,7
101,012,03,4,2
102,012,03,9,0
103,012,03,13,1
104,012,03,17,0
105,012,03,22,2
106,012,03,26,7
107,012,03,22,13
108,012,03,17,16
109,012,03,13,16
110,012,03,9,16
111,012,03,4,13
112,012,03,3,7
