,id,sentenceId2,x,y
0,014,03,0,6
1,014,03,3,2
2,014,03,8,0
3,014,03,11,1
4,014,03,15,0
5,014,03,21,2
6,014,03,26,5
7,014,03,21,11
8,014,03,16,13
9,014,03,12,13
10,014,03,8,13
11,014,03,4,11
12,014,03,2,6
13,014,03,8,5
14,014,03,12,5
15,014,03,16,5
16,014,03,23,6
17,014,03,16,7
18,014,03,12,7
19,014,03,8,7
20,015,03,0,6
21,015,03,4,2
22,015,03,9,0
23,015,03,12,1
24,015,03,16,0
25,015,03,21,2
26,015,03,27,5
27,015,03,22,10
28,015,03,17,12
29,015,03,13,12
30,015,03,9,12
31,015,03,5,10
32,015,03,3,6
33,015,03,9,4
34,015,03,13,5
35,015,03,16,4
36,015,03,24,5
37,015,03,16,5
38,015,03,13,6
39,015,03,9,6
40,001,03,0,5
41,001,03,4,2
42,001,03,9,0
43,001,03,12,1
44,001,03,16,0
45,001,03,21,1
46,001,03,26,3
47,001,03,21,8
48,001,03,17,10
49,001,03,13,11
50,001,03,9,10
51,001,03,5,9
52,001,03,2,5
53,001,03,9,4
54,001,03,13,5
55,001,03,16,4
56,001,03,24,4
57,001,03,16,4
58,001,03,13,5
59,001,03,9,5
60,003,03,0,7
61,003,03,4,3
62,003,03,9,0
63,003,03,12,2
64,003,03,16,0
65,003,03,21,3
66,003,03,26,6
67,003,03,21,12
68,003,03,17,15
69,003,03,13,15
70,003,03,9,14
71,003,03,4,12
72,003,03,3,7
73,003,03,9,4
74,003,03,12,5
75,003,03,16,5
76,003,03,23,6
77,003,03,16,8
78,003,03,12,8
79,003,03,9,8
80,002,03,0,5
81,002,03,4,2
82,002,03,9,0
83,002,03,13,1
84,002,03,16,1
85,002,03,21,2
86,002,03,27,5
87,002,03,22,10
88,002,03,17,13
89,002,03,13,13
90,002,03,9,13
91,002,03,5,10
92,002,03,2,5
93,002,03,9,4
94,002,03,13,4
95,002,03,16,4
96,002,03,24,5
97,002,03,16,7
98,002,03,13,7
99,002,03,9,7
100,016,03,0,5
101,016,03,4,1
102,016,03,9,0
103,016,03,12,1
104,016,03,16,0
105,016,03,21,1
106,016,03,27,4
107,016,03,22,9
108,016,03,17,11
109,016,03,13,11
110,016,03,9,11
111,016,03,5,9
112,016,03,2,5
113,016,03,9,4
114,016,03,13,4
115,016,03,16,3
116,016,03,24,4
117,016,03,16,4
118,016,03,13,5
119,016,03,9,5
120,012,03,0,6
121,012,03,5,3
122,012,03,11,1
123,012,03,15,1
124,012,03,19,0
125,012,03,26,2
126,012,03,32,5
127,012,03,26,13
128,012,03,20,16
129,012,03,16,16
130,012,03,11,16
131,012,03,5,13
132,012,03,3,7
133,012,03,11,5
134,012,03,15,5
135,012,03,19,5
136,012,03,29,6
137,012,03,20,9
138,012,03,15,10
139,012,03,11,9
140,006,03,0,5
141,006,03,5,2
142,006,03,9,1
143,006,03,12,1
144,006,03,15,0
145,006,03,20,2
146,006,03,26,5
147,006,03,20,9
148,006,03,16,11
149,006,03,13,11
150,006,03,9,11
151,006,03,5,9
152,006,03,3,5
153,006,03,9,4
154,006,03,12,5
155,006,03,16,5
156,006,03,23,5
157,006,03,15,5
158,006,03,12,5
159,006,03,9,5
160,007,03,0,6
161,007,03,4,3
162,007,03,10,1
163,007,03,14,1
164,007,03,18,0
165,007,03,24,2
166,007,03,29,6
167,007,03,24,13
168,007,03,18,17
169,007,03,14,17
170,007,03,10,17
171,007,03,4,13
172,007,03,3,7
173,007,03,10,5
174,007,03,14,6
175,007,03,18,5
176,007,03,26,7
177,007,03,18,10
178,007,03,14,10
179,007,03,10,10
180,013,03,0,6
181,013,03,4,2
182,013,03,9,0
183,013,03,12,1
184,013,03,16,0
185,013,03,21,2
186,013,03,27,6
187,013,03,22,11
188,013,03,17,14
189,013,03,13,14
190,013,03,9,13
191,013,03,4,11
192,013,03,3,6
193,013,03,9,5
194,013,03,13,5
195,013,03,16,5
196,013,03,24,6
197,013,03,16,7
198,013,03,13,8
199,013,03,9,7
200,005,03,0,9
201,005,03,3,3
202,005,03,8,0
203,005,03,11,1
204,005,03,14,0
205,005,03,18,4
206,005,03,22,8
207,005,03,18,14
208,005,03,14,16
209,005,03,11,17
210,005,03,7,16
211,005,03,3,14
212,005,03,2,9
213,005,03,8,6
214,005,03,11,6
215,005,03,14,6
216,005,03,19,8
217,005,03,14,9
218,005,03,11,10
219,005,03,8,9
220,011,03,0,3
221,011,03,6,1
222,011,03,13,0
223,011,03,18,1
224,011,03,24,0
225,011,03,32,1
226,011,03,40,3
227,011,03,32,12
